id	titel	beschrijving	prijs	icoon	inhoud	opties
1	Frysk Pakket	Een heerlijk kookpakket met de recepten en (bijna) alle ingrediënten voor Fryske Dumkes en Suikerbrood wentelteefjes.|Enkele ingrediënten zoals boter, melk en eieren moet je zelf nog even halen.	19.95	bakery_dining	De recepten|Ingrediënten|Kleurplaat met een Fries tintje|Ingrediëntenlijst	Placemat:1.50|Stift (eetbare inkt):2.50|Koksmuts:6.50|Schort:10.50
2	Chocolade Pakket	Een heerlijk kookpakket met de recepten en (bijna) alle ingrediënten voor Chocolade chip cookies en een chocoladetaartje.|Enkele ingrediënten zoals boter, melk en eieren moet je zelf nog even halen.	19.95	cookie	De recepten|Ingrediënten|Leuke kleurplaat met chocolaatjes|Spelletjes pagina|De ingrediëntenlijst	Placemat:1.50|Stift (eetbare inkt):2.50|Koksmuts:6.50|Schort:10.50
3	Regenboog pakket	Een heerlijk kookpakket met de recepten en (bijna) alle ingrediënten voor:|Regenboogpopcorn en regenboogcupcakes.|Enkele ingrediënten zoals boter, melk en eieren moet je zelf nog even halen.	19.95	cookie	De recepten|Ingrediënten|Kleurplaat met regenbogen|Een ingrediëntenlijst	Placemat:1.50|Stift (eetbare inkt):2.50|Koksmuts:6.50|Schort:10.50
4	Koekjes pakket	Een heerlijk kookpakket met de recepten en (bijna) alle ingrediënten voor:|Koekjes met zonnebloemen.|Enkele ingrediënten zoals boter, melk en eieren moet je zelf nog even halen.	19.95	cookie	De recepten|Ingrediënten|Een leuke zomerse kleurplaat|Een spelletjes pagina|Een ingrediënten lijst.	Placemat:1.50|Stift (eetbare inkt):2.50|Koksmuts:6.50|Schort:10.50
5	Verjaardags Pakket	Een heerlijk kookpakket met de recepten en (bijna) alle ingrediënten voor:|De spectaculaire cakerol! en een leuk ander recept!|Enkele ingrediënten zoals boter, melk en eieren moet je zelf nog even halen.	19.95	bakery_dining	De recepten|Ingrediënten|Een leuke kleurplaat met verjaardagsthema|Een spelletjes pagina met spelletjes om te doen op je verjaardag!|Stift met eetbare inkt|Een pakje fondant en diverse versiering|Een ingrediënten lijst.	Placemat:1.50|Stift (eetbare inkt):2.50|Koksmuts:6.50|Schort:10.50
